ID,Chủ đề,Thông điệp,Lời giảng & Câu chuyện,Hành động thức tỉnh,Cơ chế game
52,Tình Yêu và Sợ Hãi,"Khi con diễn tả sự thật của mình bằng tình yêu mến, mọi hậu quả tiêu cực hay tổn thương sẽ tự khắc biến mất.","Trong vũ trụ nhị nguyên tương đối, chỉ có hai nguồn năng lượng gốc rễ vận hành mọi hành vi của con người: Tình yêu (năng lượng mở rộng, chữa lành) và Sợ hãi (năng lượng co rút, tự vệ). Khi Thượng đế nhắc nhở 'Khi con diễn tả sự thật của mình bằng tình yêu mến, mọi hậu quả tiêu cực hay tổn thương sẽ tự khắc biến mất.', Ngài muốn con thấu suốt rằng mọi hành vi tiêu cực của người khác thực chất là tiếng kêu cứu của nỗi sợ, và chỉ có Tình yêu thương vô điều kiện mới có thể chuyển hóa được nó.","Khi những cơn hoảng sợ, lo âu giật mình gõ cửa lúc nửa đêm, hãy ôm lấy nỗi sợ đó thay vì trốn chạy. Hãy tự hỏi theo thông điệp 'Khi con diễn tả sự thật của mình bằng tình yêu mến, mọi hậu quả tiêu cực hay tổn thương sẽ tự khắc biến mất.': 'Lúc này, Tình yêu tự thân sẽ làm gì?'. Hãy hít thở sâu, gửi tình thương đến cơ thể đang mệt mỏi của con. Khi tình yêu lên tiếng, bóng tối của sợ hãi sẽ tự khắc tan biến.","Hệ thống lựa chọn 'Love/Fear Gauge' (Thay thế Karma): Người chơi đối mặt với các NPC hung dữ. Nếu chọn phản ứng Sợ hãi (tấn công phòng thủ, tích trữ tài nguyên), chỉ số phòng thủ cá nhân tăng nhưng NPC sẽ thù ghét. Nếu chọn phản ứng Tình yêu theo tinh thần 'Khi con diễn tả sự thật của mình bằng tình yêu mến, mọi hậu quả tiêu cực hay tổn thương sẽ tự khắc biến mất.' (chia sẻ, thấu cảm), người chơi sẽ mở khóa mạch truyện ẩn và có thêm đồng đội mạnh mẽ."
53,Tình Yêu và Sợ Hãi,Tình yêu của Ta dành cho con là vô điều kiện và không giới hạn. Con không cần phải làm gì để 'kiếm tìm' hay xứng đáng với nó.,"Trong vũ trụ nhị nguyên tương đối, chỉ có hai nguồn năng lượng gốc rễ vận hành mọi hành vi của con người: Tình yêu (năng lượng mở rộng, chữa lành) và Sợ hãi (năng lượng co rút, tự vệ). Khi Thượng đế nhắc nhở 'Tình yêu của Ta dành cho con là vô điều kiện và không giới hạn. Con không cần phải làm gì để 'kiếm tìm' hay xứng đáng với nó.', Ngài muốn con thấu suốt rằng mọi hành vi tiêu cực của người khác thực chất là tiếng kêu cứu của nỗi sợ, và chỉ có Tình yêu thương vô điều kiện mới có thể chuyển hóa được nó.","Khi những cơn hoảng sợ, lo âu giật mình gõ cửa lúc nửa đêm, hãy ôm lấy nỗi sợ đó thay vì trốn chạy. Hãy tự hỏi theo thông điệp 'Tình yêu của Ta dành cho con là vô điều kiện và không giới hạn. Con không cần phải làm gì để 'kiếm tìm' hay xứng đáng với nó.': 'Lúc này, Tình yêu tự thân sẽ làm gì?'. Hãy hít thở sâu, gửi tình thương đến cơ thể đang mệt mỏi của con. Khi tình yêu lên tiếng, bóng tối của sợ hãi sẽ tự khắc tan biến.","Hệ thống lựa chọn 'Love/Fear Gauge' (Thay thế Karma): Người chơi đối mặt với các NPC hung dữ. Nếu chọn phản ứng Sợ hãi (tấn công phòng thủ, tích trữ tài nguyên), chỉ số phòng thủ cá nhân tăng nhưng NPC sẽ thù ghét. Nếu chọn phản ứng Tình yêu theo tinh thần 'Tình yêu của Ta dành cho con là vô điều kiện và không giới hạn. Con không cần phải làm gì để 'kiếm tìm' hay xứng đáng với nó.' (chia sẻ, thấu cảm), người chơi sẽ mở khóa mạch truyện ẩn và có thêm đồng đội mạnh mẽ."
54,Tình Yêu và Sợ Hãi,Đừng cố gắng bám chặt lấy một người hay một vật vì sợ mất mát. Tình yêu đích thực luôn đi kèm với sự buông lỏng tự do.,"Trong vũ trụ nhị nguyên tương đối, chỉ có hai nguồn năng lượng gốc rễ vận hành mọi hành vi của con người: Tình yêu (năng lượng mở rộng, chữa lành) và Sợ hãi (năng lượng co rút, tự vệ). Khi Thượng đế nhắc nhở 'Đừng cố gắng bám chặt lấy một người hay một vật vì sợ mất mát. Tình yêu đích thực luôn đi kèm với sự buông lỏng tự do.', Ngài muốn con thấu suốt rằng mọi hành vi tiêu cực của người khác thực chất là tiếng kêu cứu của nỗi sợ, và chỉ có Tình yêu thương vô điều kiện mới có thể chuyển hóa được nó.","Khi những cơn hoảng sợ, lo âu giật mình gõ cửa lúc nửa đêm, hãy ôm lấy nỗi sợ đó thay vì trốn chạy. Hãy tự hỏi theo thông điệp 'Đừng cố gắng bám chặt lấy một người hay một vật vì sợ mất mát. Tình yêu đích thực luôn đi kèm với sự buông lỏng tự do.': 'Lúc này, Tình yêu tự thân sẽ làm gì?'. Hãy hít thở sâu, gửi tình thương đến cơ thể đang mệt mỏi của con. Khi tình yêu lên tiếng, bóng tối của sợ hãi sẽ tự khắc tan biến.","Hệ thống lựa chọn 'Love/Fear Gauge' (Thay thế Karma): Người chơi đối mặt với các NPC hung dữ. Nếu chọn phản ứng Sợ hãi (tấn công phòng thủ, tích trữ tài nguyên), chỉ số phòng thủ cá nhân tăng nhưng NPC sẽ thù ghét. Nếu chọn phản ứng Tình yêu theo tinh thần 'Đừng cố gắng bám chặt lấy một người hay một vật vì sợ mất mát. Tình yêu đích thực luôn đi kèm với sự buông lỏng tự do.' (chia sẻ, thấu cảm), người chơi sẽ mở khóa mạch truyện ẩn và có thêm đồng đội mạnh mẽ."
55,Tình Yêu và Sợ Hãi,"Những bậc thầy giác ngộ là những người luôn chọn lựa Tình yêu trong mọi khoảnh khắc, ngay cả khi đối mặt với cái chết.","Trong vũ trụ nhị nguyên tương đối, chỉ có hai nguồn năng lượng gốc rễ vận hành mọi hành vi của con người: Tình yêu (năng lượng mở rộng, chữa lành) và Sợ hãi (năng lượng co rút, tự vệ). Khi Thượng đế nhắc nhở 'Những bậc thầy giác ngộ là những người luôn chọn lựa Tình yêu trong mọi khoảnh khắc, ngay cả khi đối mặt với cái chết.', Ngài muốn con thấu suốt rằng mọi hành vi tiêu cực của người khác thực chất là tiếng kêu cứu của nỗi sợ, và chỉ có Tình yêu thương vô điều kiện mới có thể chuyển hóa được nó.","Khi những cơn hoảng sợ, lo âu giật mình gõ cửa lúc nửa đêm, hãy ôm lấy nỗi sợ đó thay vì trốn chạy. Hãy tự hỏi theo thông điệp 'Những bậc thầy giác ngộ là những người luôn chọn lựa Tình yêu trong mọi khoảnh khắc, ngay cả khi đối mặt với cái chết.': 'Lúc này, Tình yêu tự thân sẽ làm gì?'. Hãy hít thở sâu, gửi tình thương đến cơ thể đang mệt mỏi của con. Khi tình yêu lên tiếng, bóng tối của sợ hãi sẽ tự khắc tan biến.","Hệ thống lựa chọn 'Love/Fear Gauge' (Thay thế Karma): Người chơi đối mặt với các NPC hung dữ. Nếu chọn phản ứng Sợ hãi (tấn công phòng thủ, tích trữ tài nguyên), chỉ số phòng thủ cá nhân tăng nhưng NPC sẽ thù ghét. Nếu chọn phản ứng Tình yêu theo tinh thần 'Những bậc thầy giác ngộ là những người luôn chọn lựa Tình yêu trong mọi khoảnh khắc, ngay cả khi đối mặt với cái chết.' (chia sẻ, thấu cảm), người chơi sẽ mở khóa mạch truyện ẩn và có thêm đồng đội mạnh mẽ."
56,Tình Yêu và Sợ Hãi,"Sự khoan dung không phải là phán xét ai đó sai rồi tha thứ, mà là nhận ra bản chất thiêng liêng đằng sau mọi vai diễn.","Trong vũ trụ nhị nguyên tương đối, chỉ có hai nguồn năng lượng gốc rễ vận hành mọi hành vi của con người: Tình yêu (năng lượng mở rộng, chữa lành) và Sợ hãi (năng lượng co rút, tự vệ). Khi Thượng đế nhắc nhở 'Sự khoan dung không phải là phán xét ai đó sai rồi tha thứ, mà là nhận ra bản chất thiêng liêng đằng sau mọi vai diễn.', Ngài muốn con thấu suốt rằng mọi hành vi tiêu cực của người khác thực chất là tiếng kêu cứu của nỗi sợ, và chỉ có Tình yêu thương vô điều kiện mới có thể chuyển hóa được nó.","Khi những cơn hoảng sợ, lo âu giật mình gõ cửa lúc nửa đêm, hãy ôm lấy nỗi sợ đó thay vì trốn chạy. Hãy tự hỏi theo thông điệp 'Sự khoan dung không phải là phán xét ai đó sai rồi tha thứ, mà là nhận ra bản chất thiêng liêng đằng sau mọi vai diễn.': 'Lúc này, Tình yêu tự thân sẽ làm gì?'. Hãy hít thở sâu, gửi tình thương đến cơ thể đang mệt mỏi của con. Khi tình yêu lên tiếng, bóng tối của sợ hãi sẽ tự khắc tan biến.","Hệ thống lựa chọn 'Love/Fear Gauge' (Thay thế Karma): Người chơi đối mặt với các NPC hung dữ. Nếu chọn phản ứng Sợ hãi (tấn công phòng thủ, tích trữ tài nguyên), chỉ số phòng thủ cá nhân tăng nhưng NPC sẽ thù ghét. Nếu chọn phản ứng Tình yêu theo tinh thần 'Sự khoan dung không phải là phán xét ai đó sai rồi tha thứ, mà là nhận ra bản chất thiêng liêng đằng sau mọi vai diễn.' (chia sẻ, thấu cảm), người chơi sẽ mở khóa mạch truyện ẩn và có thêm đồng đội mạnh mẽ."
57,Tình Yêu và Sợ Hãi,"Khi con sợ hãi, con đang chối bỏ Ta và chối bỏ chính bản thể rực rỡ của mình.","Trong vũ trụ nhị nguyên tương đối, chỉ có hai nguồn năng lượng gốc rễ vận hành mọi hành vi của con người: Tình yêu (năng lượng mở rộng, chữa lành) và Sợ hãi (năng lượng co rút, tự vệ). Khi Thượng đế nhắc nhở 'Khi con sợ hãi, con đang chối bỏ Ta và chối bỏ chính bản thể rực rỡ của mình.', Ngài muốn con thấu suốt rằng mọi hành vi tiêu cực của người khác thực chất là tiếng kêu cứu của nỗi sợ, và chỉ có Tình yêu thương vô điều kiện mới có thể chuyển hóa được nó.","Khi những cơn hoảng sợ, lo âu giật mình gõ cửa lúc nửa đêm, hãy ôm lấy nỗi sợ đó thay vì trốn chạy. Hãy tự hỏi theo thông điệp 'Khi con sợ hãi, con đang chối bỏ Ta và chối bỏ chính bản thể rực rỡ của mình.': 'Lúc này, Tình yêu tự thân sẽ làm gì?'. Hãy hít thở sâu, gửi tình thương đến cơ thể đang mệt mỏi của con. Khi tình yêu lên tiếng, bóng tối của sợ hãi sẽ tự khắc tan biến.","Hệ thống lựa chọn 'Love/Fear Gauge' (Thay thế Karma): Người chơi đối mặt với các NPC hung dữ. Nếu chọn phản ứng Sợ hãi (tấn công phòng thủ, tích trữ tài nguyên), chỉ số phòng thủ cá nhân tăng nhưng NPC sẽ thù ghét. Nếu chọn phản ứng Tình yêu theo tinh thần 'Khi con sợ hãi, con đang chối bỏ Ta và chối bỏ chính bản thể rực rỡ của mình.' (chia sẻ, thấu cảm), người chơi sẽ mở khóa mạch truyện ẩn và có thêm đồng đội mạnh mẽ."
58,Tình Yêu và Sợ Hãi,Món quà quý giá nhất con có thể trao cho người khác là nhìn thấy họ bằng con mắt của tình yêu thương và sự tôn trọng tuyệt đối.,"Trong vũ trụ nhị nguyên tương đối, chỉ có hai nguồn năng lượng gốc rễ vận hành mọi hành vi của con người: Tình yêu (năng lượng mở rộng, chữa lành) và Sợ hãi (năng lượng co rút, tự vệ). Khi Thượng đế nhắc nhở 'Món quà quý giá nhất con có thể trao cho người khác là nhìn thấy họ bằng con mắt của tình yêu thương và sự tôn trọng tuyệt đối.', Ngài muốn con thấu suốt rằng mọi hành vi tiêu cực của người khác thực chất là tiếng kêu cứu của nỗi sợ, và chỉ có Tình yêu thương vô điều kiện mới có thể chuyển hóa được nó.","Khi những cơn hoảng sợ, lo âu giật mình gõ cửa lúc nửa đêm, hãy ôm lấy nỗi sợ đó thay vì trốn chạy. Hãy tự hỏi theo thông điệp 'Món quà quý giá nhất con có thể trao cho người khác là nhìn thấy họ bằng con mắt của tình yêu thương và sự tôn trọng tuyệt đối.': 'Lúc này, Tình yêu tự thân sẽ làm gì?'. Hãy hít thở sâu, gửi tình thương đến cơ thể đang mệt mỏi của con. Khi tình yêu lên tiếng, bóng tối của sợ hãi sẽ tự khắc tan biến.","Hệ thống lựa chọn 'Love/Fear Gauge' (Thay thế Karma): Người chơi đối mặt với các NPC hung dữ. Nếu chọn phản ứng Sợ hãi (tấn công phòng thủ, tích trữ tài nguyên), chỉ số phòng thủ cá nhân tăng nhưng NPC sẽ thù ghét. Nếu chọn phản ứng Tình yêu theo tinh thần 'Món quà quý giá nhất con có thể trao cho người khác là nhìn thấy họ bằng con mắt của tình yêu thương và sự tôn trọng tuyệt đối.' (chia sẻ, thấu cảm), người chơi sẽ mở khóa mạch truyện ẩn và có thêm đồng đội mạnh mẽ."
59,Tình Yêu và Sợ Hãi,"Bản chất thực sự của con chính là Tình yêu thương. Khi con yêu thương, con chỉ đang đơn giản là trở lại là chính mình.","Trong vũ trụ nhị nguyên tương đối, chỉ có hai nguồn năng lượng gốc rễ vận hành mọi hành vi của con người: Tình yêu (năng lượng mở rộng, chữa lành) và Sợ hãi (năng lượng co rút, tự vệ). Khi Thượng đế nhắc nhở 'Bản chất thực sự của con chính là Tình yêu thương. Khi con yêu thương, con chỉ đang đơn giản là trở lại là chính mình.', Ngài muốn con thấu suốt rằng mọi hành vi tiêu cực của người khác thực chất là tiếng kêu cứu của nỗi sợ, và chỉ có Tình yêu thương vô điều kiện mới có thể chuyển hóa được nó.","Khi những cơn hoảng sợ, lo âu giật mình gõ cửa lúc nửa đêm, hãy ôm lấy nỗi sợ đó thay vì trốn chạy. Hãy tự hỏi theo thông điệp 'Bản chất thực sự của con chính là Tình yêu thương. Khi con yêu thương, con chỉ đang đơn giản là trở lại là chính mình.': 'Lúc này, Tình yêu tự thân sẽ làm gì?'. Hãy hít thở sâu, gửi tình thương đến cơ thể đang mệt mỏi của con. Khi tình yêu lên tiếng, bóng tối của sợ hãi sẽ tự khắc tan biến.","Hệ thống lựa chọn 'Love/Fear Gauge' (Thay thế Karma): Người chơi đối mặt với các NPC hung dữ. Nếu chọn phản ứng Sợ hãi (tấn công phòng thủ, tích trữ tài nguyên), chỉ số phòng thủ cá nhân tăng nhưng NPC sẽ thù ghét. Nếu chọn phản ứng Tình yêu theo tinh thần 'Bản chất thực sự của con chính là Tình yêu thương. Khi con yêu thương, con chỉ đang đơn giản là trở lại là chính mình.' (chia sẻ, thấu cảm), người chơi sẽ mở khóa mạch truyện ẩn và có thêm đồng đội mạnh mẽ."
60,Tình Yêu và Sợ Hãi,Hãy để tình yêu của con bao trùm lấy cả những góc tối và những sai lầm của cuộc đời. Đó mới là sự chữa lành trọn vẹn.,"Trong vũ trụ nhị nguyên tương đối, chỉ có hai nguồn năng lượng gốc rễ vận hành mọi hành vi của con người: Tình yêu (năng lượng mở rộng, chữa lành) và Sợ hãi (năng lượng co rút, tự vệ). Khi Thượng đế nhắc nhở 'Hãy để tình yêu của con bao trùm lấy cả những góc tối và những sai lầm của cuộc đời. Đó mới là sự chữa lành trọn vẹn.', Ngài muốn con thấu suốt rằng mọi hành vi tiêu cực của người khác thực chất là tiếng kêu cứu của nỗi sợ, và chỉ có Tình yêu thương vô điều kiện mới có thể chuyển hóa được nó.","Khi những cơn hoảng sợ, lo âu giật mình gõ cửa lúc nửa đêm, hãy ôm lấy nỗi sợ đó thay vì trốn chạy. Hãy tự hỏi theo thông điệp 'Hãy để tình yêu của con bao trùm lấy cả những góc tối và những sai lầm của cuộc đời. Đó mới là sự chữa lành trọn vẹn.': 'Lúc này, Tình yêu tự thân sẽ làm gì?'. Hãy hít thở sâu, gửi tình thương đến cơ thể đang mệt mỏi của con. Khi tình yêu lên tiếng, bóng tối của sợ hãi sẽ tự khắc tan biến.","Hệ thống lựa chọn 'Love/Fear Gauge' (Thay thế Karma): Người chơi đối mặt với các NPC hung dữ. Nếu chọn phản ứng Sợ hãi (tấn công phòng thủ, tích trữ tài nguyên), chỉ số phòng thủ cá nhân tăng nhưng NPC sẽ thù ghét. Nếu chọn phản ứng Tình yêu theo tinh thần 'Hãy để tình yêu của con bao trùm lấy cả những góc tối và những sai lầm của cuộc đời. Đó mới là sự chữa lành trọn vẹn.' (chia sẻ, thấu cảm), người chơi sẽ mở khóa mạch truyện ẩn và có thêm đồng đội mạnh mẽ."
61,Sự Sống và Cái Chết,"Thân thể của con được thiết kế để sống mãi mãi. Con không bao giờ thực sự chết, con chỉ thay đổi hình dạng vật chất.","Cái chết chỉ là một ảo ảnh vật lý, một bước chuyển giao tần số năng lượng từ thể thô đặc sang thể tinh khiết. Linh hồn là bất tử, chưa từng bắt đầu và không bao giờ kết thúc. Thông điệp 'Thân thể của con được thiết kế để sống mãi mãi. Con không bao giờ thực sự chết, con chỉ thay đổi hình dạng vật chất.' giải phóng con khỏi nỗi sợ lớn nhất của loài người, khẳng định rằng mọi sự ra đi đều là lựa chọn tự nguyện của linh hồn ở cấp độ siêu hình để tiếp tục tiến hóa ở cõi giới cao hơn.","Khi con sợ hãi thất bại hay lo âu về sức khỏe, hãy nhớ rằng con là một linh hồn vĩ đại đang dạo chơi dưới hình hài con người. Lớp vỏ bọc này có thể mệt mỏi, nhưng linh hồn con luôn tràn đầy sinh lực. Ghi nhớ 'Thân thể của con được thiết kế để sống mãi mãi. Con không bao giờ thực sự chết, con chỉ thay đổi hình dạng vật chất.' để chơi trò chơi cuộc đời một cách nhẹ nhàng, thản nhiên, không bị đè nặng bởi ảo ảnh mất mát.","Cơ chế 'Chất Vấn Linh Thiêng' (Divine Inquiry / No Game Over): Khi nhân vật cạn HP, trò chơi không kết thúc. Linh hồn người chơi bước vào không gian siêu thực để đối thoại với Thượng đế theo câu nói 'Thân thể của con được thiết kế để sống mãi mãi. Con không bao giờ thực sự chết, con chỉ thay đổi hình dạng vật chất.'. Người chơi có quyền tự quyết định: Quay lại cơ thể vật lý với một nội tại mới (Hồi sinh) hoặc chuyển sinh sang một dòng thời gian khác."
62,Thời Gian,"Thời gian tuyến tính chỉ là ảo ảnh của trí óc. Quá khứ, hiện tại và tương lai đều đang tồn tại đồng thời ngay Bây Giờ.","Thời gian tuyến tính chỉ là một công cụ đo lường chuyển động của trí óc trong thế giới tương đối. Trong thực tại tối hậu của Thượng đế, tất cả mọi sự đều diễn ra trong một khoảnh khắc vĩnh cửu duy nhất (The Eternal Now). Khi con hiểu rằng 'Thời gian tuyến tính chỉ là ảo ảnh của trí óc. Quá khứ, hiện tại và tương lai đều đang tồn tại đồng thời ngay Bây Giờ.', con nắm giữ quyền năng thay đổi tương lai và chữa lành quá khứ bằng cách thay đổi tần số năng lượng ngay trong giây phút hiện tại.","Đừng đếm giờ lo lắng khi thức giấc lúc nửa đêm ('mình chỉ còn 3 tiếng để ngủ'). Áp lực thời gian đó chỉ là ảo ảnh. Hãy áp dụng 'Thời gian tuyến tính chỉ là ảo ảnh của trí óc. Quá khứ, hiện tại và tương lai đều đang tồn tại đồng thời ngay Bây Giờ.': neo mình vào khoảnh khắc 'Bây giờ' tĩnh lặng. Thả lỏng cơ thể, cảm nhận sự an yên ngay lúc này mà không lo nghĩ về ngày mai. Giấc ngủ sẽ tự khắc đến khi con giải phóng ảo ảnh thời gian.","Cơ chế 'Ma Trận Hiện Tại' (The Now Matrix): Thiết lập một phím bấm đặc biệt cho phép người chơi làm ngưng đọng thời gian. Trong trạng thái này, người chơi có thể nhìn thấy tất cả các nhánh kịch bản tương lai (CD-ROM branches) và bẻ lái đầu đọc laser của ý thức để nhảy sang dòng dữ liệu mong muốn, hiện thực hóa thông điệp 'Thời gian tuyến tính chỉ là ảo ảnh của trí óc. Quá khứ, hiện tại và tương lai đều đang tồn tại đồng thời ngay Bây Giờ.'."
63,Sự Sống và Cái Chết,"Cái chết không phải là một kết thúc đáng sợ, mà là một sự mở ra huy hoàng của nhận thức và sự trở về Nhà.","Cái chết chỉ là một ảo ảnh vật lý, một bước chuyển giao tần số năng lượng từ thể thô đặc sang thể tinh khiết. Linh hồn là bất tử, chưa từng bắt đầu và không bao giờ kết thúc. Thông điệp 'Cái chết không phải là một kết thúc đáng sợ, mà là một sự mở ra huy hoàng của nhận thức và sự trở về Nhà.' giải phóng con khỏi nỗi sợ lớn nhất của loài người, khẳng định rằng mọi sự ra đi đều là lựa chọn tự nguyện của linh hồn ở cấp độ siêu hình để tiếp tục tiến hóa ở cõi giới cao hơn.","Khi con sợ hãi thất bại hay lo âu về sức khỏe, hãy nhớ rằng con là một linh hồn vĩ đại đang dạo chơi dưới hình hài con người. Lớp vỏ bọc này có thể mệt mỏi, nhưng linh hồn con luôn tràn đầy sinh lực. Ghi nhớ 'Cái chết không phải là một kết thúc đáng sợ, mà là một sự mở ra huy hoàng của nhận thức và sự trở về Nhà.' để chơi trò chơi cuộc đời một cách nhẹ nhàng, thản nhiên, không bị đè nặng bởi ảo ảnh mất mát.","Cơ chế 'Chất Vấn Linh Thiêng' (Divine Inquiry / No Game Over): Khi nhân vật cạn HP, trò chơi không kết thúc. Linh hồn người chơi bước vào không gian siêu thực để đối thoại với Thượng đế theo câu nói 'Cái chết không phải là một kết thúc đáng sợ, mà là một sự mở ra huy hoàng của nhận thức và sự trở về Nhà.'. Người chơi có quyền tự quyết định: Quay lại cơ thể vật lý với một nội tại mới (Hồi sinh) hoặc chuyển sinh sang một dòng thời gian khác."
64,Thời Gian,Sức mạnh tối thượng nằm ở khoảnh khắc Bây Giờ. Đó là điểm duy nhất con có thể định hình lại toàn bộ số mệnh của mình.,"Thời gian tuyến tính chỉ là một công cụ đo lường chuyển động của trí óc trong thế giới tương đối. Trong thực tại tối hậu của Thượng đế, tất cả mọi sự đều diễn ra trong một khoảnh khắc vĩnh cửu duy nhất (The Eternal Now). Khi con hiểu rằng 'Sức mạnh tối thượng nằm ở khoảnh khắc Bây Giờ. Đó là điểm duy nhất con có thể định hình lại toàn bộ số mệnh của mình.', con nắm giữ quyền năng thay đổi tương lai và chữa lành quá khứ bằng cách thay đổi tần số năng lượng ngay trong giây phút hiện tại.","Đừng đếm giờ lo lắng khi thức giấc lúc nửa đêm ('mình chỉ còn 3 tiếng để ngủ'). Áp lực thời gian đó chỉ là ảo ảnh. Hãy áp dụng 'Sức mạnh tối thượng nằm ở khoảnh khắc Bây Giờ. Đó là điểm duy nhất con có thể định hình lại toàn bộ số mệnh của mình.': neo mình vào khoảnh khắc 'Bây giờ' tĩnh lặng. Thả lỏng cơ thể, cảm nhận sự an yên ngay lúc này mà không lo nghĩ về ngày mai. Giấc ngủ sẽ tự khắc đến khi con giải phóng ảo ảnh thời gian.","Cơ chế 'Ma Trận Hiện Tại' (The Now Matrix): Thiết lập một phím bấm đặc biệt cho phép người chơi làm ngưng đọng thời gian. Trong trạng thái này, người chơi có thể nhìn thấy tất cả các nhánh kịch bản tương lai (CD-ROM branches) và bẻ lái đầu đọc laser của ý thức để nhảy sang dòng dữ liệu mong muốn, hiện thực hóa thông điệp 'Sức mạnh tối thượng nằm ở khoảnh khắc Bây Giờ. Đó là điểm duy nhất con có thể định hình lại toàn bộ số mệnh của mình.'."
65,Sự Sống và Cái Chết,Không một linh hồn nào rời bỏ thân xác vật lý (chết) vào một thời điểm hoặc theo một cách thức mà họ không tự lựa chọn.,"Cái chết chỉ là một ảo ảnh vật lý, một bước chuyển giao tần số năng lượng từ thể thô đặc sang thể tinh khiết. Linh hồn là bất tử, chưa từng bắt đầu và không bao giờ kết thúc. Thông điệp 'Không một linh hồn nào rời bỏ thân xác vật lý (chết) vào một thời điểm hoặc theo một cách thức mà họ không tự lựa chọn.' giải phóng con khỏi nỗi sợ lớn nhất của loài người, khẳng định rằng mọi sự ra đi đều là lựa chọn tự nguyện của linh hồn ở cấp độ siêu hình để tiếp tục tiến hóa ở cõi giới cao hơn.","Khi con sợ hãi thất bại hay lo âu về sức khỏe, hãy nhớ rằng con là một linh hồn vĩ đại đang dạo chơi dưới hình hài con người. Lớp vỏ bọc này có thể mệt mỏi, nhưng linh hồn con luôn tràn đầy sinh lực. Ghi nhớ 'Không một linh hồn nào rời bỏ thân xác vật lý (chết) vào một thời điểm hoặc theo một cách thức mà họ không tự lựa chọn.' để chơi trò chơi cuộc đời một cách nhẹ nhàng, thản nhiên, không bị đè nặng bởi ảo ảnh mất mát.","Cơ chế 'Chất Vấn Linh Thiêng' (Divine Inquiry / No Game Over): Khi nhân vật cạn HP, trò chơi không kết thúc. Linh hồn người chơi bước vào không gian siêu thực để đối thoại với Thượng đế theo câu nói 'Không một linh hồn nào rời bỏ thân xác vật lý (chết) vào một thời điểm hoặc theo một cách thức mà họ không tự lựa chọn.'. Người chơi có quyền tự quyết định: Quay lại cơ thể vật lý với một nội tại mới (Hồi sinh) hoặc chuyển sinh sang một dòng thời gian khác."
66,Thời Gian,"Thời gian không phải là một sợi dây kéo dài. Nó là một bánh xe tĩnh lặng, nơi con chọn phân vùng dữ liệu để trải nghiệm.","Thời gian tuyến tính chỉ là một công cụ đo lường chuyển động của trí óc trong thế giới tương đối. Trong thực tại tối hậu của Thượng đế, tất cả mọi sự đều diễn ra trong một khoảnh khắc vĩnh cửu duy nhất (The Eternal Now). Khi con hiểu rằng 'Thời gian không phải là một sợi dây kéo dài. Nó là một bánh xe tĩnh lặng, nơi con chọn phân vùng dữ liệu để trải nghiệm.', con nắm giữ quyền năng thay đổi tương lai và chữa lành quá khứ bằng cách thay đổi tần số năng lượng ngay trong giây phút hiện tại.","Đừng đếm giờ lo lắng khi thức giấc lúc nửa đêm ('mình chỉ còn 3 tiếng để ngủ'). Áp lực thời gian đó chỉ là ảo ảnh. Hãy áp dụng 'Thời gian không phải là một sợi dây kéo dài. Nó là một bánh xe tĩnh lặng, nơi con chọn phân vùng dữ liệu để trải nghiệm.': neo mình vào khoảnh khắc 'Bây giờ' tĩnh lặng. Thả lỏng cơ thể, cảm nhận sự an yên ngay lúc này mà không lo nghĩ về ngày mai. Giấc ngủ sẽ tự khắc đến khi con giải phóng ảo ảnh thời gian.","Cơ chế 'Ma Trận Hiện Tại' (The Now Matrix): Thiết lập một phím bấm đặc biệt cho phép người chơi làm ngưng đọng thời gian. Trong trạng thái này, người chơi có thể nhìn thấy tất cả các nhánh kịch bản tương lai (CD-ROM branches) và bẻ lái đầu đọc laser của ý thức để nhảy sang dòng dữ liệu mong muốn, hiện thực hóa thông điệp 'Thời gian không phải là một sợi dây kéo dài. Nó là một bánh xe tĩnh lặng, nơi con chọn phân vùng dữ liệu để trải nghiệm.'."
