ID,Thông điệp,Ý nghĩa,Cơ chế game
71,Mỗi giây phút con sống là một cơ hội vàng để linh hồn viết tiếp trang sử vĩ đại của hành trình tiến hóa.,Hiện tại là khoảnh khắc thiêng liêng để con chọn lựa và định hình con người mới của mình.,"Cơ chế 'Khoảnh Khắc Vàng': Mỗi ngày, game cung cấp một khung giờ đặc biệt; khi người chơi đăng nhập và dạo chơi, họ sẽ được nhân đôi điểm thức tỉnh."
72,"Sợ hãi co rút, đóng kín, cất giấu và gây tổn thương. Tình yêu mở rộng, chia sẻ, chữa lành và tự do.",Sợ hãi khiến con người dựng lên những bức tường phòng thủ và làm tổn thương kẻ khác để tự vệ.,Cơ chế 'Hào Quang Năng Lượng': Nhân vật có hai trạng thái hào quang.
73,"Bản chất thực sự của con chính là Tình yêu thương. Khi con yêu thương, con chỉ đang đơn giản là trở lại là chính mình.","Con không cần phải học cách yêu thương, vì yêu thương là DNA nguyên bản của linh hồn con.","Cơ chế 'Năng Lượng Nguyên Bản': Khi chỉ số Tình yêu đạt tối đa, nhân vật sẽ được khôi phục toàn bộ sinh lực và phát ra hào quang chữa lành xung quanh."
74,Nỗi sợ lớn nhất của con người là nỗi sợ không xứng đáng. Nhưng Ta nói cho con biết: con mãi mãi hoàn hảo và xứng đáng.,"Con được tạo ra từ tình yêu của Thượng đế, sự tồn tại của con tự thân nó đã là một giá trị tuyệt mỹ.",Cơ chế 'Xứng Đáng Nội Tại': Nhân vật được giải phóng khỏi các thuộc tính 'Danh vọng' hay 'Địa vị'.
75,"Hãy dũng cảm công bố bản tính thần thánh của mình bằng cách sống hòa ái, bao dung và tràn ngập lòng nhân từ.","Công bố thần tính không phải bằng lời nói kiêu ngạo, mà bằng việc tỏa sáng các phẩm chất của Thượng đế: yêu thương vô điều kiện và mang lại bình an cho vạn vật.","Cơ chế 'Tỏa Sáng Thần Tính': Khi chỉ số bao dung đạt tối đa, nhân vật phát ra ánh sáng rực rỡ làm dịu cơn giận của tất cả quái vật xung quanh."
76,Món quà quý giá nhất con có thể trao cho người khác là nhìn thấy họ bằng con mắt của tình yêu thương và sự tôn trọng tuyệt đối.,"Khi con nhìn thấy sự vĩ đại và thần thánh bên trong một ai đó, con đang giúp họ nhận ra và đánh thức sức mạnh vĩ đại của chính họ.","Cơ chế 'Ánh Nhìn Tôn Vinh': Khi người chơi đối thoại và tập trung vào điểm tốt của NPC, NPC đó sẽ được tăng sức mạnh chiến đấu và hỗ trợ người chơi."
77,Thời gian và Không gian thực chất chỉ là một thực thể năng lượng duy nhất được hiển thị theo các góc độ quan sát khác nhau.,"Dưới góc nhìn khoa học tâm linh, không-thời gian là một mạng lưới năng lượng đồng nhất.",Cơ chế 'Bẻ Cong Không Thời Gian': Người chơi có thể bẻ cong không gian để di chuyển tức thời giữa các điểm mốc bằng năng lượng ý chí.
78,"Sự thay đổi thế giới không bắt đầu từ việc sửa đổi xã hội bên ngoài, mà từ việc chuyển dịch ý thức bên trong từng cá nhân.",Mọi nỗ lực thay đổi cấu trúc xã hội bằng bạo lực hay ép buộc đều thất bại nếu ý thức con người chưa tiến hóa.,"Cơ chế 'Hào Quang Thức Tỉnh': Nhân vật chính không cần chiến đấu; chỉ cần tăng chỉ số thức tỉnh cá nhân, các NPC xung quanh sẽ tự động thay đổi hành vi tốt lên."
79,Đừng chờ đợi thế giới thay đổi. Hãy trở thành sự thay đổi mà con mong muốn nhìn thấy trong xã hội.,Thế giới bên ngoài chỉ là sự phản chiếu của ý thức tập thể.,Cơ chế 'Trở Thành Sự Thay Đổi': Người chơi thay đổi ngoại cảnh của một thành phố bằng cách thay đổi hành vi và cách ứng xử của chính mình với người dân.
80,Hãy để tình yêu của con bao trùm lấy cả những góc tối và những sai lầm của cuộc đời. Đó mới là sự chữa lành trọn vẹn.,"Sự chữa lành thực sự không loại bỏ hay ghét bỏ những phần bất hảo, mà ôm lấy chúng bằng lòng trắc ẩn để chuyển hóa chúng.","Cơ chế 'Ôm Lấy Bóng Tối': Kỹ năng chữa trị tối thượng; thay vì tiêu diệt quái vật bóng tối, người chơi ôm lấy chúng để chuyển hóa chúng thành linh thú đồng hành."
81,Sức mạnh tối thượng nằm ở khoảnh khắc Bây Giờ. Đó là điểm duy nhất con có thể định hình lại toàn bộ số mệnh của mình.,Con không thể hành động ở quá khứ hay tương lai.,Cơ chế 'Điểm Neo Hiện Tại': Người chơi có thể đặt một 'Điểm neo' tại khoảnh khắc hiện tại để quay lại sửa chữa quyết định nếu làm sai.
82,"Ở các xã hội tiến hóa cao, không một cá nhân nào sở hữu đất đai hay tài nguyên. Họ là những người chăm nom và sẻ chia tất cả.","Sự tiến hóa cao của một nền văn minh được đo bằng lòng rộng lượng và sự sẻ chia tài nguyên, bảo vệ môi trường, không có lòng tham sở hữu.",Cơ chế 'Kinh Tế Sẻ Chia': Trò chơi loại bỏ tính năng mua bán kiếm lời.
83,"Con không bao giờ có thể thua trong trò chơi này, vì đích đến cuối cùng đã được Ta thiết lập sẵn là sự quay trở về.",Hành trình của linh hồn là một vòng tròn hoàn hảo.,Cơ chế 'Bất Tử Linh Hồn': Game hoàn toàn không có màn hình 'Game Over'.
84,Không có gì là sai trái khi con nhận được tiền tài từ công việc gieo rắc sự tử tế và chữa lành. Hãy để dòng chảy tự do lưu thông.,Sự thịnh vượng vật chất là một phần của dòng chảy năng lượng vũ trụ.,Cơ chế 'Dòng Chảy Thịnh Vượng': Người chơi nhận được nhiều vàng và vật phẩm quý hiếm hơn khi hoàn thành các nhiệm vụ cứu trợ và chữa lành cho NPC.
85,"Ta không phải là một vị thần phán xét hay trừng phạt. Ta là năng lượng sáng tạo, là tình yêu thuần khiết bao trùm vạn vật.",Thượng đế không vận hành như một quan tòa loài người.,Cơ chế 'Ân sủng Không điều kiện': Loại bỏ hệ thống điểm Karma (Thiện/Ác) truyền thống.
86,Tình yêu của Ta dành cho con là vô điều kiện và không giới hạn. Con không cần phải làm gì để 'kiếm tìm' hay xứng đáng với nó.,Tình yêu của Thượng đế luôn hiện hữu xung quanh con giống như không khí.,Cơ chế 'Hơi Ấm Vô Hạn': Nhân vật tự động được phục hồi năng lượng đầy đủ khi đứng yên trong các vùng ánh sáng dịu dàng của đền thờ.
87,"Khi con tuyên bố 'Ta là', con đang kích hoạt quyền năng sáng tạo lớn nhất trong vũ trụ.",Lời tuyên bố 'Ta là' (I AM) định hình nhận thức và thu hút các trải nghiệm tương ứng.,Cơ chế 'Khẩu Lệnh Quyền Năng': Hệ thống chọn thoại của game sử dụng cấu trúc 'Tôi là.
88,"Ta nói chuyện với tất cả mọi người, mọi lúc. Câu hỏi không phải là Ta nói chuyện với ai, mà là ai đang lắng nghe.","Thượng đế luôn giao tiếp với con người thông qua cảm xúc, trực giác, những sự trùng hợp và dấu hiệu cuộc sống.",Cơ chế 'Thoại Trực Giác' (Intuitive Dialogue): Người chơi có thể sử dụng tính năng 'Lắng nghe' để phát hiện các gợi ý ẩn từ môi trường xung quanh.
89,Mỗi suy nghĩ của con là một năng lượng sáng tạo. Những gì con tập trung suy nghĩ vào nhiều nhất sẽ trở thành thực tại của con.,Tâm trí con giống như một nam châm khổng lồ.,Cơ chế 'Định Hình Bản Đồ': Các khu vực trong game sẽ sinh ra quái vật hoặc báu vật dựa trên tần suất suy nghĩ lo âu hay bình yên của người chơi.
90,Cách nhanh nhất để tự đánh thức bản thân chính là dấn thân nâng đỡ và đánh thức linh hồn của những người xung quanh.,"Khi con tập trung giúp đỡ người khác nhận ra vẻ đẹp linh hồn của họ, năng lượng yêu thương đó sẽ dội ngược lại và làm thức tỉnh chính con.","Cơ chế 'Cộng Hưởng Thức Tỉnh': Khi người chơi giúp đỡ một NPC thức tỉnh, nhân vật chính sẽ được tăng vĩnh viễn 5% chỉ số thông tuệ."
91,Sự khác biệt lớn nhất giữa con người và sinh mệnh tiến hóa cao là mức độ họ chủ động quan sát thế giới thay vì phản ứng vô thức.,"Người kém tiến hóa thường phản ứng giận dữ, sợ hãi một cách vô thức trước hoàn cảnh.","Cơ chế 'Tĩnh Lặng Quan Sát': Khi trận đấu diễn ra quá nhanh, người chơi có thể kích hoạt chế độ 'Quan sát' để làm chậm nhịp độ và phân tích chiêu thức đối phương."
92,"Hành trình trở về Nhà (Home with God) là một chu kỳ hoàn hảo, nơi linh hồn nhận biết sự hiệp nhất tuyệt đối với Ta.",Mỗi linh hồn sau khi trải nghiệm đủ đầy thế giới tương đối sẽ tự nguyện quay trở về hòa nhập với nguồn năng lượng hợp nhất vĩ đại của Thượng đế.,"Cơ chế 'Hành Trình Trở Về': Màn chơi cuối cùng dẫn người chơi quay trở về điểm khởi đầu của game, nhưng với một tâm thức hoàn toàn mới và thông tuệ."
93,"Trò chơi vũ trụ được thiết kế để con đeo lên bức màn quên lãng, rồi trải nghiệm niềm vui vỡ òa của sự Hồi tưởng.",Linh hồn tự nguyện quên đi thần tính của mình khi bước vào thế giới vật chất để có thể trải nghiệm quá trình tự khám phá và thức tỉnh đầy vi diệu.,"Cơ chế 'Bức Màn Quên Lãng': Đầu game, nhân vật bị khóa hết kỹ năng và ký ức; qua quá trình khám phá thế giới, họ dần mở khóa lại sức mạnh thần thánh."
94,Lời mời gọi thứ ba thiêng liêng dành cho con lúc nãy là: Hãy thức tỉnh nhân loại bằng chính lối sống tỉnh thức của mình.,"Cách truyền giáo vĩ đại nhất không phải bằng lời nói giáo điều, mà bằng việc con mô hình hóa lối sống tử tế, bình an và tràn ngập tình yêu thương.",Cơ chế 'Sứ Giả Thức Tỉnh': Người chơi hoàn thành các nhiệm vụ truyền cảm hứng cho NPC bằng cách thực hiện các hành động tử tế thầm lặng.
95,"Cuộc đời không phải là một trường học để đi học, mà là một sân chơi sáng tạo để con quyết định và trải nghiệm Con Là Ai.","Trái Đất không phải là nơi con bị đày ải để trả nợ nghiệp, mà là một không gian tự do để con thể hiện và trải nghiệm phiên bản vĩ đại nhất của mình.",Cơ chế 'Sân Chơi Tự Do': Trò chơi không có tính điểm phạt hay trừ điểm kinh nghiệm khi làm sai.
96,"Thân thể của con được thiết kế để sống mãi mãi. Con không bao giờ thực sự chết, con chỉ thay đổi hình dạng vật chất.",Thân thể vật lý là phương tiện tạm thời của linh hồn.,"Cơ chế 'Bảo Toàn Sinh Lực': Cơ chế sinh tồn độc đáo; khi thanh máu vật lý về 0, nhân vật chuyển sang trạng thái 'Thể năng lượng bất tử'."
97,Cuộc sống trần thế là cơ hội để linh hồn con chuyển hóa những khái niệm vĩ đại nhất thành kinh nghiệm thực tế.,"Ở cõi siêu hình, con biết thế nào là bao dung bằng khái niệm.",Cơ chế 'Kinh Nghiệm Thực Tế': Người chơi nhận được điểm 'Giác ngộ' khi biến các ý thuyết tâm linh trong game thành các hành động ứng xử thực tế.
98,"Ta không ngồi trên cao để cân đo tội lỗi. Ta cười cùng con, khóc cùng con và kinh nghiệm đời sống thông qua con.",Thượng đế là người bạn đồng hành trung thành nhất của con.,Cơ chế 'Đồng Điệu Cảm Xúc': Nhân vật chính có thanh trạng thái cảm xúc.
99,Vâng phục không phải là sự trưởng thành. Trưởng thành thực sự là khi con tự quyết định hành động dựa trên tình yêu.,Làm điều tốt chỉ vì sợ hãi hình phạt hay tuân theo mệnh lệnh một cách mù quáng không giúp linh hồn tiến hóa.,Cơ chế 'Quyết Định Trưởng Thành': Loại bỏ các lựa chọn thoại vâng lời mù quáng; người chơi chỉ thăng cấp khi tự đưa ra quyết định độc lập dựa trên tình yêu.
100,"Khi con diễn tả sự thật của mình bằng tình yêu mến, mọi hậu quả tiêu cực hay tổn thương sẽ tự khắc biến mất.",Nói ra sự thật không nhất thiết phải gây tổn thương.,Cơ chế 'Sự Thật Yêu Thương': Lựa chọn thoại 'Nói sự thật bằng tình yêu' luôn mở ra các giải pháp hòa giải êm đẹp nhất giữa các phe phái.
